Open,High,Low,Close,Price_5,Price_10,Price_20,Price_60,Price_120,Volume,Volume_5,Volume_10,Volume_20,Volume_60,Volume_120,Volume Ratio,OBV,MACD,MACD_Signal,Momentum,Momentum_Signal,William_R,William_D,Psychology,Psychology_Signal,MFI,MFI_Signal,RSI,RSI_Signal,
104100,105700,100200,101700,100340,99570,98510,112331.67,139518.33,70469,86100.8,90475.7,97617.95,118793.53,130625.11,136.66,1580369,-1517.28,-2893.17,4600,4991.26,-0.4475,-0.4102,0.5,0.5249,58.95,57.2,0.5477,0.5542,
101000,103200,100000,100900,101920,99130,98825,111433.33,138830.83,42961,82857.6,84813.8,95799.9,118304.42,130393.31,120.76,1537408,-1336.6,-2581.86,900,4173.01,-0.4917,-0.451,0.4,0.5093,54.2,56.6,0.5098,0.5453,
99800,100700,98400,99200,102180,98890,99225,110536.67,138190.83,81640,84978,79491.4,95847.95,118857.57,130211.77,120.63,1455768,-1315.42,-2328.57,-3900,2558.4,-0.5856,-0.5183,0.4,0.4956,46.51,54.58,0.4564,0.5275,
99500,100800,97900,99300,101200,99060,99660,109686.67,137680.83,100178,80066.2,77948.2,95754.25,119218.47,128658.72,149.74,1555946,-1275.87,-2118.03,-7200,606.72,-0.5159,-0.5171,0.5,0.4962,36.3,50.93,0.413,0.5046,
97900,106600,97900,103300,100880,99990,100030,108940,137125,175491,94147.8,87944.7,96357.55,120855.83,128252.68,151.32,1731437,-911.25,-1876.67,1600,805.38,-0.2215,-0.3693,0.6,0.5091,48.52,50.44,0.5197,0.5076,
103000,106400,102100,105000,101540,100940,100590,108221.67,136563.33,130340,106122,96111.4,99621.55,121190.12,128548.14,183.92,1861777,-479.58,-1597.25,-300,584.3,-0.1074,-0.2383,0.6,0.5205,49.75,50.3,0.4961,0.5053,
105800,111200,103900,108900,103140,102530,101180,107570,135979.17,175923,132714.4,107786,104622.85,122669.5,129024.31,198.17,2037700,175.2,-1242.76,7300,1927.44,-0.1179,-0.1781,0.7,0.5429,61.51,52.55,0.5938,0.523,
106000,109000,105900,107000,104700,103440,101530,106860,135395.83,91260,134638.4,109808.2,104411.1,122998.53,129186.73,163.33,1946440,534.64,-887.28,9400,3421.95,-0.2154,-0.1968,0.6,0.5501,62.22,54.48,0.6277,0.544,
109000,109900,107200,107700,106380,103790,101760,106280,134866.67,65499,127702.6,103884.4,101675.5,121916.23,127557.18,156.43,2011939,866,-536.63,13700,5477.56,-0.1795,-0.1881,0.6,0.5563,67.39,57.06,0.7021,0.5756,
108800,111000,108600,109800,107680,104280,101925,105940,134343.33,96059,111816.2,102982,99281.05,119553.65,127566.37,150.39,2107998,1283.26,-172.65,14300,7242.05,-0.0718,-0.13,0.6,0.5618,68.73,59.4,0.7072,0.6019,
