Price,William's %R,Roc,Momentum,RSI,CCI,ADX,TRIX,MACD,OBV,_TSF_,ATR,MFI
298000,-0.3548,100,1000,0.5278,57.91,0.3561,0.03,894.68,-379567,294362.64,3000,30.97
299000,-0.2903,99.67,1000,0.5278,108.68,0.3317,0.03,1083.39,-302249,295554.95,3035.71,35.12
298000,-0.3548,99.67,0,0.5,73.4,0.3017,0.03,1139.13,-365658,296428.57,3000,35.26
298500,-0.3226,101.36,-1500,0.4571,83.88,0.2758,0.03,1209.7,-296273,297796.7,2928.57,28.64
297000,-0.4194,100.68,-2000,0.4444,55.35,0.2533,0.03,1131.55,-334132,298609.89,2964.29,29.46
288000,-0.8889,98.13,-6500,0.3556,-243.13,0.3002,0.02,339.48,-740994,296126.37,2607.14,30.55
287500,-0.9259,97.62,-7500,0.3333,-196.45,0.3409,0.01,-324.85,-863708,293802.2,2535.71,30.53
287500,-0.9259,97.79,-6000,0.3571,-166.38,0.3783,-0.02,-841.63,-863708,291461.54,2392.86,30.99
287500,-0.9259,97.46,-7000,0.325,-128.76,0.4128,-0.04,-1236.92,-863708,289494.51,2285.71,24
288500,-0.8519,98.13,-5500,0.3659,-88.26,0.4143,-0.06,-1452.76,-796568,287956.04,2357.14,28.24
288000,-0.8889,97.63,-7000,0.325,-73.9,0.4156,-0.07,-1645.19,-825925,286631.87,2285.71,26.35
288000,-0.8889,97.3,-6000,0.3421,-65.62,0.4209,-0.09,-1777.21,-825925,285362.64,2250,26.57
287000,-0.963,96.31,-8000,0.2895,-65.7,0.4298,-0.1,-1940.16,-874608,284181.32,2214.29,24.1
286000,-0.9333,95.65,-10000,0.2368,-73.27,0.4522,-0.11,-2125.49,-1046652,283153.85,2250,17.53
285500,-0.9667,95.81,-12500,0.1429,-76.98,0.4716,-0.13,-2286.36,-1093974,282664.84,2107.14,11.64
286500,-0.8929,95.98,-12500,0.1429,-61.9,0.4618,-0.13,-2306.56,-1036085,283049.45,2035.71,10.03
285500,-0.963,96.13,-12500,0.1429,-71.67,0.4533,-0.14,-2375.88,-1101323,283384.62,2000,10.03
287000,-0.8333,99.65,-11500,0.1892,-61.1,0.4459,-0.14,-2283.46,-1031860,284648.35,2000,14.77
287000,-0.6667,99.83,-10000,0.2059,-14.14,0.4395,-0.14,-2185.02,-1031860,286027.47,1892.86,17.92
281000,-0.96,97.74,-7000,0.25,-158.59,0.4813,-0.15,-2561.63,-1432257,284439.56,2035.71,18.08
282500,-0.84,98.26,-5000,0.3333,-248.23,0.5176,-0.15,-2707.85,-1303147,283423.08,2178.57,18.03
